Title: 格安SIMで自宅ネット！最強プランと裏ワザ大公開！,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189094617637,Content: 今回は、筆者が実際に試した格安で自宅ネットを構築する方法を、赤裸々に大公開最強プランは楽天モバイル月額円でデータ通信量無制限まさに夢のようなプランだが、落とし穴もあるテザリングの切り替えが面倒くさい充電中はモバイルルーターに自動で切り替わってほしいそんな願いを叶える裏ワザがで自動化アプリを使って、充電時にテザリングを自動有効化これで、面倒な切り替えから解放される驚きの月額料金筆者の場合、月額円以下固定回線の半額以下格安で節約しよう
Title: 案の定コロナに感染した,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189089274139,Content: 先週末に参加したボードゲームのイベント結局はコロナウィルスに感染した。参加したイベント今週は会社も休み、多大な迷惑をかけたことは実に反省する。これまでの思考のルーティンを書いたが、やはり多人数で集まるイベントでは、参加者の質を問わなければならない気がする。特に若い外国人などは、血気盛んな年齢なので、いろんな場所に出入りしているだろう。それに比べて五十台のおっさんが、同じような行動をしていると、それ見たことかという結果を招かざるを得ない。もちろん年齢的にも、彼らよりも体をいたわらなければならない。しかしながら、ボードゲームは面白かった。このネタは、現代社会の問題に触れつつ、自己反省とユーモアを織り交ぜた構成になっていますね。それでは、この話題を基にして、シャドー演芸スタイルでアレンジしたネタを提案します。今回は、ちょっとした自虐ネタを交えつつ、ボードゲームの楽しさと、社会での立ち振る舞いについての考察を混ぜた内容にしましょう。【ボケ】「先週、ボードゲームのイベント行ったんだよ。楽しかったーでもね、結局コロナに感染しちゃって。」【ツッコミ】「おいおい、楽しかったってその後の大惨事を忘れてるのか」【ボケ】「いやいや、でもさ、ボードゲームって想像以上に熱中できるんだよ。コマを進めるたび、コロナのリスクも進めちゃったみたいだけどね。」【ツッコミ】「リスク進めるゲームじゃないからなちゃんと予防対策しろって」【ボケ】「でもさ、考えてみたんだ。多人数で集まるイベントって、参加者の質も大事なんじゃないかって。」【ツッコミ】「質って何だよ、品評会かよ」【ボケ】「いや、聞いてよ。若い外国人は元気いっぱいでいろんなところに行ってるけど、俺たち五十台のおっさんが同じことしたら」【ツッコミ】「それ見たことかってなるのはお前の行動力だけだろ」【ボケ】「そうそう、年を取るって、リスク管理が上手くなるってことなんだよね。ボードゲームで学んだ最大の教訓だよ。」【ツッコミ】「ボードゲームから学ぶ教訓がそれかよ」【ボケ】「まあ、それにしてもボードゲームは面白かったなあ。また行きたいけど」【ツッコミ】「次はオンラインでやれよ安全第一だぞ」
Title: 家庭で簡単！歯周病を抑える日常のポイント,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189079681420,Content: 昨年から詰めた永久歯の根本で痛みがあり、何度か歯医者に行っているのであるが、虫歯ではなくて歯周病ということが判明した。どうやら、詰めた歯の真ん中の部分で深いスポットのようなものができているらしい。歯の構造というのは本の根があって、その間の部分は歯茎の肉で埋まっている。よく歯医者に行くと、チクッと歯茎を指して、数字を読んでいたりするが、あれがいわゆるポケットの深さを読み上げているぽいあくまで想像だがで、その箇所はなんととか、先生が言うではありませんかたぶんなんだよねぇそんな訳で、治療に行っても、そこに膿が溜まるのを消毒したり、抗生物質で菌を抑え込むしか治療がない訳であります。歯医者さんから聞いたのは、歯周病菌は嫌気性なので、空気を通すと繁殖しなくなるらしい。なので、ときどき歯周にぐりぐりと歯間ブラシを押し込んで、歯肉に覆われないようにするといいらしい。ただし、毎回、血だらけになったり、変に中途半端にすると雑菌を押し込んだりして、余計に悪化しかねない。口腔洗浄機　何か良いものがないか、ヨドバシで調べていたら超音波の歯周洗浄機なるものがあるでは、あーりませんかただし、メーカー製はちょっとお高い・・・　健康には代え難いがたいし、どうしようかなあと考えていたら、メーカー製でなくても良さそうなものがあった。そんなわけで、ポチろうかどうか、調べている最中・・・
Title: 高齢のばあさんを相手にしていたら、ＩＴニーズがよく分かる話,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189078579310,Content: 発端　自身の親、正月にぎっくり腰をやって、動けなかったとかいうので、先週様子を見に行ってきた。　正直ながら代後半なので、いまさら化することも何度かチャレンジしてきたが、やはり根付かせることが出来たのは、唯一のアンドロイドのだけである。　スタートは折りたたみ式の携帯電話だった。スマホを持たせれば重たいと言い、画面の文字を見ては小さいから見えないと言い、それでも何やかんやと、自分のおさがりスマホを貸与して、年かけて今の状態に持っていくことができた。ネット事情　今は単身赴任で横浜に来ているので、インターネットも楽天モバイルのデザリングのみである。最初は固定回線でなければ、まともなネットが出来ないのかと思いきや、いまは楽天モバイルで十分であることを実証できた。　しかしながら、ついついデザリングをし忘れるので、しょっちゅう設定画面からやりなおすのを億劫に考えていた。　そんななか、何かいいものが無いか探していたら、場所を検知してデザリングさせるアプリがあるというではあーりませんか　とりあえず、これなら婆さんを改造できる可能性が出てきた。次段階　ネット環境さえ固定してしまえば、後は婆さんの家に、スマホをデザリング状態で待機させて置き、座椅子にタブレットを固定してしまえば、暫定ながら車いすや介護ベッド状態になっても、ある程度のオペレーションまでできると考えられる。アプリ開発仕様　画面には押しボタンのみ、出来る機能は、アプリの割り付け　　これはトークモードで高齢者に寄り添うようなケアマネージャをで演じさせれば十分だろうボケ予防　　何かゲーム的なものを作ってみる。数独が好きらしいので、その代替アプリを起動ショッピング系　　自分で発注は困難なので、これをで自動化できないだろうか今後の予定　まず婆さんには指の動く限り、目の見える限り、そして耳の聞こえる限り、話の出来る限り、ヒューマンインタフェースが利用できる限り、今のテクノロジーでこの困難を乗り越えていこうと思う。
Title: SUNO-AIっていう音楽制作AI,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189068614501,Content: ボケ「最近、っていう音楽制作使ってんだけど、これがすごいんだよ。メロディとかハーモニーとか、僕が思いつかないようなのをポンポン出してくれるんだ。」ツッコミ「へぇ、そんなにすごいのか。でも、が全部やってくれると、お前は何をするんだ」ボケ「それがいいところで、が作ってくれた曲を聴いて、いいねって言うだけなんだよ。」ツッコミ「え、それだけじゃあ、お前、作曲家じゃなくて、ただのリスナーじゃないか」ボケ「いやいや、でもさ、が提案するアイデアに、ちょっとここ変えようかなってアドバイスすることもあるよ。」ツッコミ「それ、ただの意見くらいじゃないか。それに、が作った曲に文句言うのか」ボケ「うん、たまにはね。でも、は怒らないからいいんだよ。人間のミュージシャンと違って、そんなこと言うなら自分でやれよって言われないからね。」ツッコミ「は怒らないかもしれないけど、お前のセンスを疑われるぞ。」ボケ「大丈夫、は僕のセンスも分析してくれて、だんだんと僕好みの曲を作ってくれるようになるんだって。」ツッコミ「お前、もはやに人間関係を学ばせてるんじゃないか次はに恋愛相談でもするつもりか」ボケ「それ、いいアイデアかもしれないね」ツッコミ「いやいや、恋愛相談は人間にしろよ」このような感じで、と音楽制作に関するネタをマンザイ風にアレンジしてみました。ポイントは、の便利さと、それに依存しすぎる面白さを組み合わせることですね。
Title: 単身赴任生活２か月目の振り返り：節約のコツと新しい朝の習慣,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189061503751,Content: 横浜での単身赴任生活が始まって約か月が経ちました。新しい生活に慣れてきた今、日々の節約術や朝の習慣をシェアしたいと思います。この所は、食費の節約のために商店街巡りがマイブームです。商店街巡りの魅力最近、食費の節約のために商店街巡りがマイブームになりました。横浜橋商店街はその中でも特に有名で、様々なお店や地元の特産品が楽しめる場所です。最近訪れた際の様子をにアップしましたので、ぜひご覧ください。朝のルーティン新しい環境での朝のスタートは大切です。私の朝は以下のようになっています。布団から起きて　掛け布団毛布を横につ折り、奥側に三つ折り。枕を置き、敷布団を三つ折りにして固めます。着替え　寝着と普段着を入れ替えられるカゴを使用し、動線の最小限化に注意します。トイレ　洗濯物を減らすため、失禁パッドを生理用品で代用。下着の洗濯を最小限にします。朝食朝食の工夫節約しつつ、栄養バランスを考えた朝食も大切です。私の朝食の一例をご紹介します。常温の豆乳と牛乳を温める　一人用加熱ポットを使用し、度にセットして放置。野菜や卵、具材を使った朝食の準備　電気代節約のため、冷蔵庫は保冷剤クーラーボックスに変更予定。朝食の後、洗い物はサランラップを捨てるだけ　洗い物を最小限に抑えるための工夫。　常温の豆乳、冷蔵庫の牛乳を半分ずつ、一人用加熱ポットで温めます。度にセットして放置します。　つぎに冷蔵庫から、野菜ブロッコリ、キャベツ、玉ねぎ等、卵、チーズ、具材ハム、鮭、肉類、納豆などを取り出します。ここは電気代節約のため、保冷剤クーラーボックスに変更予定です。　換気扇を回して、バウルーに油を引き、軽く加熱します。同時にフライパンでお湯を沸かしますこのお湯は、洗い物に使用します　バウルー片側に卵を割って入れ、片側に野菜を乗っけます。弱火で加熱し、蒸し野菜と卵焼きを同時に完成します。　アルミタッパ蓋付にサランラップを敷き、をバサッと入れます。冷めないように直ぐに蓋をします。洗い物を無くす対策です。　次にトーストにシリコンヘラでバターを伸ばし、チーズと具材を載せます。バウルーで挟んで焼きます。　冷蔵庫からヨーグルトを取り出し、フルーツをカットして載せます。　使った料理挟み、バウルー、シリコンスプーンは、で沸かしたお湯に漬けて洗い物は完了します　が温まったら最後にコーヒーを入れてカフェオレが完成。　食後の洗い物はありません。基本的にサランラップを捨てれば終了します。新しい生活の工夫ゴミ捨てのポイント　リサイクルを考慮し、袋の分別を心がける。仕事帰りのスーパー立ち寄り　買い物リストを作成して、効率的に必要なものを購入。風呂と洗濯の頻度　季節や気温に合わせて調整し、節約と快適さの両立を図る。ゴミ捨て空き缶、は近所の自販機横のごみ箱に捨てます。仕事基本的に昼食は会社。会社帰りにスーパーに立ち寄ります。トイレは基本すべて会社で済ます。夕食夕食はスーパーの総菜コーナーでになった、コロッケ、唐揚げなど米は自炊で炊きます。パックライスはやや高いお餅、うどん、やきそばでの代用も可能風呂と洗濯風呂は日に一度、基本シャワーで済ます。洗濯物は、シャツ、靴下、パンツ、スパッツ。日に一回、バケツに漬けおくこれらの工夫を通して、新しい環境での生活をより豊かに、かつ節約を心掛けています。これからも日々の発見や工夫をアップデートしていきますので、ぜひ一緒に楽しんでいきましょうどんな小さなアイデアも、新しい生活に役立つことがありますね。
Title: 単身赴任の生活報告　その２　毎日の生活を変えるライフハック - コンパクトな旅行洗濯バッグの魅力"  ハッシュタグ:  #ライフハック #旅行グッズ #洗濯バッグ #コンパクト #節約 #手洗い #自己最適化 #アウトドア #コインランドリー #洗濯あるある,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189050639173,Content: 続きです。衣服毎日、同じ服を着るのも、さすがに少々気持ち悪いです。特に、横浜では人混みや、排気ガスにまみれていますので・・・コインランドリー初日は円、回目は円まで、値段を下げました。しかしながら、一度に洗濯物を固めるのも、やや大変なので、少量を手洗いすることにしました。最終手段　元々はアウトドアでの洗濯シーンを考えていたので、最も軽量な方法を選択しました。コメントこの革新的な洗濯袋は本当に素晴らしい道具です。持ち運びが非常に便利で、軽量でコンパクトに折りたたむことができますので、出張や旅行時に非常に重宝します。凹凸シートを用いた洗濯袋は、手洗いの時に衣服を効果的にこすり洗うことができます。これにより、少ない水量ででも効率的な洗浄を行うことができます。また、紐付きなので、どこでも簡単に干すことができます。洗濯物を固めて洗濯するのが大変であったり、コインランドリーの出費を抑えたい方には最適な洗濯バッグです。さらに、アウトドアでの利用にも適しています。減量は旅行やアウトドア活動にとって大きなポイントであり、この洗濯バッグならば、その問題を解決し、洗濯が可能となります。横浜のような人混みや排気ガスが多い都市での生活でも、この洗濯袋を使用することで、清潔な生活を維持することができます。毎日の生活にちょっとした新鮮さを加え、特に旅行者やアウトドア愛好者にとっては画期的なアイテムだと思います。まさしくライフハックと呼べる道具です。
Title: 単身赴任の生活報告　その１,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/6801883189050630753,Content: 一週間ぶりに関西に帰ってきました。単身赴任の振り返りをしてみます。食生活食費が結構かさむので、いろいろ工夫をしていました。もちろん登山サバイバルの練習も兼ねています。朝食　基本的にはパンです。すぐに食べれることを優先して、塩パンやロールパンが中心です。　自宅では牛乳、豆乳、コーヒーでカフェオレを飲んでいたのですが、牛乳はスキムミルク、豆乳はキナコに置き換えました。　分量を量るのが大変なので、均のアイスクリームスプーンを入れています。夕食　ホットモットの弁当、コンビニの冷凍食などを中心にしています。　回転すしと牛丼屋などで外食しています。　卵だけ、常温で買いました。　あとは、缶詰めとインスタントで過ごしていました。上記の食事ですが、やはり週間が限界で、だんだん飽きてきました。特に生野菜や、肉や魚が欲しくなります。加えて、やはり乳製品牛乳、アイス、ヨーグルトが恋しくなりました。最終手段　　結局、一般家庭用の冷蔵庫は買わないことにしました。どうせ捨てることになるので・・・いろいろ考えましたが、車載用のポータブル冷蔵庫が安いので、ポチリましたちょうどの感謝祭で安くなっていたので・バッテリーで充電可能・容量はリットル・庫内高さ　　　牛乳パック、ペットボトルの高さが入ること　税込コメント横浜への単身赴任が、まさに都会の節約ライフとしての要素を色々と含んでいると思います。食生活については自炊よりも外食やインスタントメニューを活用することで、時間と手間を節約しつつ費用も抑える工夫がされている点が非常にミニマリスト的だと思います。時間と小遣いの節約に一役買っていると思います。また、特に巧妙なのは、本来家庭では必須とされる「冷蔵庫」を持たないという選択です。これは物理的なスペースだけでなく、購入費用、電気代といった経済的な負担も大きく減らすことができます。ただ、このライフスタイルは食事のバランスや栄養管理等においては工夫が必要となる場合があるかと思います。常に健康管理を心掛けつつ、これらの節約方法を継続することが、更なる良いミニマリストライフに繋がると思います。最後に、ポータブル冷蔵庫の購入は、必要最低限の要素を満たすための選択と言えるでしょう。物を持たないことだけがミニマリストではなく、自分のライフスタイルに必要な物を選び、それを最大限活用することも大切です。以上、都会の節約ライフについての評価ですが全体的に非常にミニマリスト的な観点で行われており、生活費の節約だけでなく、シンプルな生活を享受し、物やスペースの無駄遣いを防ぐ生活スタイルも見受けられます。
Title: 絵コンテをＡＩで生成する,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/820878482971778548,Content: 面白いサービスを発見した最近はただでさえ、生成がブームだというのに、やや世間の反応は冷ややかなものである。それはまだ、どこかしか試行錯誤段階にあると言うのが、全体的な課題だと思える。作ってみたとりあえず、自分の過去のブログ記事を題材に突っ込んでみた。
Title: 断捨離の仕方,Link: https://blog.hatena.ne.jp/motochan1969/lifehacking1919.hatenablog.jp/atom/entry/820878482971747089,Content: 断捨離をすることになり、その効果と気づきについてまとめます。効果掃除が行き届く　除けた場所にスペースが出来て、ロボット掃除機が入りやすくなった。片付けがし易くなる収納ラックに余裕が出来て、物の入れ場所が分かりやすくなった。気づき地震の時に困りにくい懐中電灯の場所が分かりやすい懐中電灯で探す際も、分かりやすいモノを活用しやすい普段、着ない服も着ようと工夫するようになる感覚が鍛えられる結局は次に買う時に、物に対する優先事項が明確になり、目利きがしやすくなる整理ボックスのような場所が出来る散らかったものが、見やすくなる普段から見ているもの　　異常を検知しやすくなる　期待する効果健康など、普段のちょっとした変化に敏感になる。ホコリなどに関する、軽微なものへの対処　　マスクは掃除には必要なもの、そもそもコロナ対策ではないことに気づく片付けすぎた場合も、物の適正化に気づく
